Vendor,Product,Version,Vulnerabilities Fixed
coollabsio,coolify,< 4.0.0-beta.374,CVE-2025-22612
coollabsio,coolify,">= 4.0.0-beta.18, < 4.0.0-beta.253",CVE-2025-22605
copist,Icons Enricher,Unknown,CVE-2025-22573
craftcms,cms,">= 5.0.0-RC1, < 5.5.5",CVE-2025-23209
curl,curl,8.11.1,"CVE-2025-0167, CVE-2025-0665, CVE-2025-0725"
cvat-ai,cvat,">= 1.1.0, < 2.26.0",CVE-2025-23045
dahlia,fedify,< 1.0.14,CVE-2025-23221
dani-garcia,vaultwarden,< 1.33.0,"CVE-2025-24364, CVE-2025-24365"
datafeedr.com,WooCommerce Cloak Affiliate Links,Unknown,CVE-2025-24647
davidanderson,UpdraftPlus: WP Backup & Migration Plugin,*,CVE-2025-0215
dcooperman,MagicForm,*,CVE-2025-0939
denoland,deno,< 2.1.2,CVE-2025-21620
desktop,desktop,< 3.4.12,CVE-2025-23040
dev@tamara.co,Tamara Checkout,Unknown,CVE-2025-23997
devycreates,Bible-Module,< 0.0.3,CVE-2025-23202
digfish,Geotagged Media,Unknown,CVE-2025-23558
directus,directus,< 11.2.0,CVE-2025-24353
discourse,discourse,beta: <= 3.4.0.beta3,CVE-2025-22601
discourse,discourse,stable: < 3.3.2,CVE-2025-23023
discourse,discourse,stable: <= 3.3.3,CVE-2025-22602
djjmz,Simple Auto Tag,Unknown,CVE-2025-25153
drakkan,sftpgo,">= 0.9.5, < 2.6.5",CVE-2025-24366
dueclic,turboSMTP,Unknown,CVE-2025-22753
dugbug,Easy Chart Builder for WordPress,Unknown,CVE-2025-25077
eDoc Intelligence LLC,eDoc Easy Tables,Unknown,CVE-2025-22519
edmon,"Download, Downloads",Unknown,CVE-2025-23541
efreja,Music Sheet Viewer,Unknown,CVE-2025-25155
envoyproxy,gateway,< 1.2.6,CVE-2025-24030
eteubert,Podlove Podcast Publisher,*,CVE-2025-0554
ethereum,go-ethereum,">= 1.14.0, < 1.14.13",CVE-2025-24883
exelban,stats,2.11.0,CVE-2025-0396
exelban,stats,< 2.11.21,CVE-2025-21606
falldeaf,WP ViewSTL,Unknown,CVE-2025-22742
fastify,fastify-multipart,< 8.3.1,CVE-2025-24033
flashmaniac,Nature FlipBook,Unknown,CVE-2025-23454
flowdee,"ClickWhale – Link Manager, Link Shortener and Click Tracker for Affiliate Links & Link Pages",*,CVE-2025-0804
fumiao,opencms,2.2,CVE-2025-0708
fures,XTRA Settings,Unknown,CVE-2025-23729
gabrieldarezzo,InLocation,Unknown,CVE-2025-25166
galleryape,Photo Gallery – Image Gallery by Ape,Unknown,CVE-2025-22317
gaul,s3proxy,< 2.6.0,CVE-2025-24961
getsentry,sentry,">= 21.12.0, < 25.1.0",CVE-2025-22146
github,codeql-action,">= 3.26.11, <= 3.28.2",CVE-2025-24362
go-git,go-git,">= 4.0.0,  < 5.13.0",CVE-2025-21613
go-git,go-git,">= 4.0.0, < 5.13.0",CVE-2025-21614
google,zx,">= 8.3.0, < 8.3.2",CVE-2025-24959
gradio-app,gradio,< 5.6.0,CVE-2025-23042
grandslambert,Featured Page Widget,Unknown,CVE-2025-22569
gubbigubbi,Kona Gallery Block,Unknown,CVE-2025-25080
guzzle,oauth-subscriber,< 0.8.1,CVE-2025-21617
haydenbleasel,next-forge,< 3.0.11,CVE-2025-23027
hccoder – Sándor Fodor,Better User Shortcodes,Unknown,CVE-2025-22594
heart5,StatPressCN,Unknown,CVE-2025-23544
himmelblau-idm,himmelblau,">= 0.7.0, < 0.7.15",CVE-2025-24034
"humanmade limited, Joe Hoyle, Tom Wilmott, Matthew Haines-Young",HM Portfolio,Unknown,CVE-2025-23522
iTechArt-Group,PayPal Marketing Solutions,Unknown,CVE-2025-23930
iTerm2,iTerm2,3.5.6,CVE-2025-22275
ibasit,GlobalQuran,Unknown,CVE-2025-25143
icegram,Icegram,Unknown,CVE-2025-24542
idIA Tech,"Catalog Importer, Scraper & Crawler",Unknown,CVE-2025-22775
imgproxy,imgproxy,< 3.27.2,CVE-2025-24354
inc2734,Smart Custom Fields,Unknown,CVE-2025-22308
instaform.ir,فرم ساز فرم افزار,Unknown,CVE-2025-22524
iova.mihai,Social Pug: Author Box,Unknown,CVE-2025-22706
isnowfy,my-related-posts,Unknown,CVE-2025-23476
itsourcecode,Farm Management System,1.0,"CVE-2025-0561, CVE-2025-0582"
itsourcecode,Tailoring Management System,1.0,"CVE-2025-0540, CVE-2025-0872, CVE-2025-0873, CVE-2025-0943, CVE-2025-0944, CVE-2025-0945, CVE-2025-0946, CVE-2025-0947, CVE-2025-0948, CVE-2025-0949, CVE-2025-0950"
jablonczay,Scroll Styler,Unknown,CVE-2025-23990
jannatqualitybacklinks.com,REDIRECTION PLUS,Unknown,CVE-2025-23681
joomsky.com,JS Jobs component for Joomla,1.1.5-1.4.2,CVE-2025-22206
jordan.hatch,Infusionsoft Analytics,Unknown,CVE-2025-25145
jprintf,CNZZ&51LA for WordPress,Unknown,CVE-2025-23823
jumpdemand,4ECPS Web Forms,Unknown,CVE-2025-22504
jupyter,nbgrader,= 0.9.4,CVE-2025-23205
ka2,Custom DataBase Tables,Unknown,CVE-2025-22539
kiKx,Kikx Simple Post Author Filter,Unknown,CVE-2025-22355
kleor,Contact Manager,*,CVE-2025-1028
kpgraham,Link Fixer,*,CVE-2025-0809
kubewarden,kubewarden-controller,">= 1.17.0, < 1.21.0",CVE-2025-24784
kubewarden,kubewarden-controller,">= 1.7.0, < 1.21.0",CVE-2025-24376
kwiliarty,External Video For Everybody,Unknown,CVE-2025-25097
laurent22,joplin,< 3.1.24,CVE-2025-25187
laurent22,joplin,">= 3.2.6, < 3.2.12",CVE-2025-24028
le Pixel Solitaire,Enhanced YouTube Shortcode,Unknown,CVE-2025-23946
leduchuy89vn,Affiliate Tools Việt Nam,Unknown,CVE-2025-23759
leiyuxi,cy-fast,1.0,"CVE-2025-0333, CVE-2025-0334, CVE-2025-0344, CVE-2025-0345"
librenms,librenms,< 24.11.0,"CVE-2025-23198, CVE-2025-23199, CVE-2025-23200, CVE-2025-23201"
libretro,RetroArch,1.19.0,CVE-2025-0459
lich_wang,WP-tagMaker,Unknown,CVE-2025-22338
linickx,root Cookie,Unknown,CVE-2025-23815
liujianview,gymxmjpa,1.0,"CVE-2025-0404, CVE-2025-0405, CVE-2025-0406, CVE-2025-0407, CVE-2025-0408, CVE-2025-0409, CVE-2025-0410"
lmfit,asteval,< 1.0.6,CVE-2025-24359
longpi1,warehouse,1.0,CVE-2025-0398
makeplane,plane,< 0.23,CVE-2025-21616
manuelvicedo,Forge – Front-End Page Builder,Unknown,CVE-2025-22703
mastersoftwaresolutions,WP VTiger Synchronization,Unknown,CVE-2025-23455
matias s,Shockingly Big IE6 Warning,Unknown,CVE-2025-23442
matrix-org,matrix-hookshot,">= 6.0.0, < 6.0.2",CVE-2025-23197
matrix-org,mjolnir,= 1.9.0,CVE-2025-24024
matt_mcbrien,WP SimpleWeather,Unknown,CVE-2025-25085
mattermost,mattermost,Unknown,"CVE-2025-20630, CVE-2025-20072, CVE-2025-20088, CVE-2025-20036, CVE-2025-20033, CVE-2025-20086, CVE-2025-20621"
metaphorcreations,Metaphor Widgets,Unknown,CVE-2025-23816
mgplugin,EMI Calculator,Unknown,CVE-2025-22265
mgplugin,Roi Calculator,Unknown,CVE-2025-24756
microsoft,windows_10,Unknown,"CVE-2023-12345, CVE-2023-12346"
mikemmx,Super Block Slider,Unknown,CVE-2025-24682
mitmproxy,mitmproxy,< 11.1.2,CVE-2025-23217
mmrs151,Prayer Times Anywhere,Unknown,CVE-2025-22590
mongoosejs,Mongoose,6.0.0,CVE-2025-23061
moyangzhan,langchain4j-aideepin,< 3.5.0,CVE-2025-21604
mraliende,URL-Preview-Box,Unknown,CVE-2025-25104
mySCADA,myPRO Manager,0,"CVE-2025-20014, CVE-2025-20061"
myscada,mypro_manager,Unknown,CVE-2025-20014
needyamin,Library Card System,1.0,"CVE-2025-0842, CVE-2025-0843, CVE-2025-0844"
needyamin,image_gallery,1.0,"CVE-2025-0721, CVE-2025-0722"
neocturne,fastd,< 23,CVE-2025-24356
nextendweb,Nextend Social Login Pro,*,CVE-2025-1061
nicholaswilson,Graceful Email Obfuscation,Unknown,CVE-2025-25076
nilsonLazarin,WeGIA,< 3.2.7,CVE-2025-22132
nilsonLazarin,WeGIA,< 3.2.8,"CVE-2025-22133, CVE-2025-22139, CVE-2025-22140, CVE-2025-22141"
nitethemes,Nite Shortcodes,Unknown,CVE-2025-23877
nodejs,node,17.9.1,CVE-2025-23087
nodejs,node,18.20.5,"CVE-2025-23084, CVE-2025-23085"
nodejs,node,19.9.0,CVE-2025-23088
nodejs,node,20.18.1,CVE-2025-23083
nodejs,node,21.7.3,CVE-2025-23089
nodejs,undici,">= 4.5.0, < 5.28.5",CVE-2025-22150
ntop,nDPI,0,CVE-2025-25066
nuxt,nuxt,">= 3.0.0, < 3.15.3",CVE-2025-24361
nuxt,nuxt,">= 3.8.1, < 3.15.3",CVE-2025-24360
nuxt-modules,mdc,< 0.13.3,CVE-2025-24981
openPLC,OpenPLC,V3,CVE-2025-1066
orlandolac,Facilita Form Tracker,Unknown,CVE-2025-25128
osamaesh,WP Visitor Statistics (Real Time Traffic),Unknown,"CVE-2025-22304, CVE-2025-24675"
pankajindevops,scale,20241113,CVE-2025-0783
"pankajpragma, rahulpragma",WordPress Google Map Professional,Unknown,CVE-2025-23913
paulswarthout,Child Themes Helper,Unknown,CVE-2025-25093
pflonk,Sidebar-Content from Shortcode,Unknown,CVE-2025-23642
phpMyAdmin,phpMyAdmin,5.0.0,"CVE-2025-24529, CVE-2025-24530"
pimcore,admin-ui-classic-bundle,< 1.7.4,CVE-2025-24980
plainware.com,PlainInventory,Unknown,CVE-2025-24557
pluginspoint,Timeline Pro,Unknown,CVE-2025-22584
pmd,pmd,< 7.10.0,CVE-2025-23215
polytope-labs,hyperbridge,< 15.0.1,CVE-2025-24800
project-zot,zot,< 2.1.2,CVE-2025-23208
pwncollege,dojo,<= 613e4fd654b16e5e0888e9205702bde83de91c60,"CVE-2025-24885, CVE-2025-24886"
pwndoc,pwndoc,< 14acb704891245bf1703ce6296d62112e85aa995,CVE-2025-23044
rccoder,wp_amaps,Unknown,CVE-2025-23794
realmag777,WOLF,Unknown,CVE-2025-24605
reckcn,SPPanAdmin,1.0,CVE-2025-0397
redhat,rhel,Unknown,CVE-2023-12348
regclient,regclient,< 0.7.1,CVE-2025-24882
regularlabs.com,Sourcerer for Joomla,0.1.2-11.0.0,CVE-2025-22204
reverbnationdev,ReverbNation Widgets,Unknown,CVE-2025-25095
robert_kolatzek,WP doodlez,Unknown,CVE-2025-25159
sainwp,OneStore Sites,Unknown,CVE-2025-25107
saleandro,Songkick Concerts and Festivals,Unknown,CVE-2025-25146
sayocode,SC Simple Zazzle,Unknown,CVE-2025-23733
scriptsbundle,DWT - Directory & Listing WordPress Theme,*,"CVE-2025-0169, CVE-2025-0170"
scweber,Custom Comment Notifications,Unknown,CVE-2025-25154
senols,AI Power: Complete AI Pack,*,"CVE-2025-0428, CVE-2025-0429"
sfackler,rust-openssl,">= 0.10.0, < 0.10.70",CVE-2025-24898
shujahat21,Optimate Ads,Unknown,CVE-2025-25136
silverplugins217,Build Private Store For Woocommerce,Unknown,"CVE-2025-22731, CVE-2025-24633"
siyuan-note,siyuan,= 3.1.18,CVE-2025-21609
slaFFik,BuddyPress Groups Extras,Unknown,CVE-2025-24538
snexed,Ticketmeo – Sell Tickets – Event Ticketing,*,CVE-2025-0507
snowflakedb,pdo_snowflake,">= 0.2.0, < 3.1.0",CVE-2025-24792
snowflakedb,snowflake-connector-net,">= 2.0.12,  < 4.3.0",CVE-2025-24788
snowflakedb,snowflake-connector-nodejs,">= 1.12.0, < 2.0.2",CVE-2025-24791
snowflakedb,snowflake-connector-python,">= 2.2.5, < 3.13.1",CVE-2025-24793
snowflakedb,snowflake-connector-python,">= 2.3.7, < 3.13.1",CVE-2025-24795
snowflakedb,snowflake-connector-python,">= 2.7.12, < 3.13.1",CVE-2025-24794
snowflakedb,snowflake-jdbc,">= 3.2.3, < 3.22.0",CVE-2025-24789
snowflakedb,snowflake-jdbc,">= 3.6.8, < 3.22.0",CVE-2025-24790
spacecodes,AI for SEO,Unknown,CVE-2025-22299
sparkle-project,Sparkle,0,CVE-2025-0509
stonith404,pingvin-share,">= 0.6.0, < 1.4.0",CVE-2025-22137
strawberry-graphql,strawberry,">= 0.182.0, < 0.257.0",CVE-2025-22151
sudipto,Link to URL / Post,Unknown,CVE-2025-25116
sw-galati.ro,iframe to embed,Unknown,CVE-2025-22545
taisan,tarzan-cms,1.0,CVE-2025-1113
templaza,Music Press Pro,Unknown,CVE-2025-22653
tgstation,tgstation-server,">= 6.11.0, < 6.12.3",CVE-2025-21611
theDotstore,Hide Shipping Method For WooCommerce,Unknown,CVE-2025-22694
theDotstore,Product Size Charts Plugin for WooCommerce,Unknown,CVE-2025-23991
theasys,Theasys,Unknown,CVE-2025-25144
theme funda,Setup Default Featured Image,Unknown,CVE-2025-24642
themebon,Ultimate Image Hover Effects,Unknown,CVE-2025-22585
themeisle,Orbit Fox by ThemeIsle,*,CVE-2025-0311
thunderbax,WP Admin Custom Page,Unknown,CVE-2025-25072
titusbicknell,RSS in Page,Unknown,CVE-2025-25096
topplugins,Vignette Ads,Unknown,CVE-2025-25071
trainingbusinesspros,"WordPress CRM, Email & Marketing Automation for WordPress | Award Winner — Groundhogg",*,CVE-2025-0394
traveller11,Google Maps Travel Route,Unknown,CVE-2025-22537
trustist,TRUSTist REVIEWer,Unknown,CVE-2025-22567
twigphp,Twig,">= 3.16.0, < 3.19.0",CVE-2025-24374
ultimatemember,"Ultimate Member – User Profile, Registration, Login, Member Directory, Content Restriction & Membership Plugin",*,"CVE-2025-0308, CVE-2025-0318"
umbraco,Umbraco-CMS,">= 14.0.0, < 14.3.2","CVE-2025-24011, CVE-2025-24012"
umbraco,Umbraco.Forms.Issues,< 8.13.16,CVE-2025-23041
updatecli,updatecli,< 0.93.0,CVE-2025-24355
uzzal mondal,Google Map With Fancybox,Unknown,CVE-2025-23594
vcita.com,"Online Payments – Get Paid with PayPal, Square & Stripe",Unknown,CVE-2025-22661
vfthemes,StorePress,Unknown,CVE-2025-22821
vikashsrivastava1111989,VSTEMPLATE Creator,Unknown,CVE-2025-23491
vim,vim,< 9.1.1043,CVE-2025-24014
vim,vim,< v9.1.1003,CVE-2025-22134
vitejs,vite,">= 6.0.0, < 6.0.9",CVE-2025-24010
vitest-dev,vitest,<= 0.0.125,CVE-2025-24964
vitest-dev,vitest,">= 2.0.4, < 2.1.9",CVE-2025-24963
vllm-project,vllm,< 0.7.0,CVE-2025-24357
vllm-project,vllm,< 0.7.2,CVE-2025-25183
vruizg,VR-Frases (collect & share quotes),*,"CVE-2025-0860, CVE-2025-0861"
vyperlang,vyper,<= 0.4.0,CVE-2025-21607
wcmp,MultiVendorX – The Ultimate WooCommerce Multivendor Marketplace Solution,*,CVE-2025-0493
web-mv.de,ResAds,Unknown,CVE-2025-23779
webraketen,Internal Links Manager,Unknown,CVE-2025-24679
wellwisher,Custom Widget Classes,Unknown,CVE-2025-23844
wishfulthemes,Email Capture & Lead Generation,Unknown,CVE-2025-23929
wp.insider,Simple Membership Custom Messages,Unknown,CVE-2025-24660
wpWax,"Post Grid, Slider & Carousel Ultimate",Unknown,CVE-2025-24782
wpWax,Product Carousel Slider & Grid Ultimate for WooCommerce,Unknown,CVE-2025-24681
wpase.com,Admin and Site Enhancements (ASE),Unknown,"CVE-2025-24648, CVE-2025-24649"
wpdevart,Widget Countdown,Unknown,CVE-2025-24719
"wpecommerce, wp.insider",Sell Digital Downloads,Unknown,CVE-2025-22826
wpmet,ElementsKit Pro,*,CVE-2025-0321
wpmudev,"Forminator Forms – Contact Form, Payment Form & Custom Form Builder",*,CVE-2025-0470
wpovernight,woocommerce-pdf-invoices-packing-slips,< 4.0.0,CVE-2025-24373
wproyal,Royal Elementor Addons and Templates,*,CVE-2025-0393
wpwebs Team - VA Jariwala,WP Post Corrector,Unknown,CVE-2025-22764
www.admiror-design-studio.com,Admiror Gallery component for Joomla,4.0.0-4.5.0,CVE-2025-22205
xdark,Easy Related Posts,Unknown,CVE-2025-25123
xola.com,Xola,Unknown,CVE-2025-23955
xwiki,xwiki-platform,">= 13.9-rc-1, < 15.10.12",CVE-2025-23025
y_project,RuoYi,4.0,CVE-2025-0734
yogeshojha,rengine,< 2.2.0,CVE-2025-24899
yogeshojha,rengine,<= 2.2.0,"CVE-2025-24962, CVE-2025-24966, CVE-2025-24967, CVE-2025-24968"
ys_corporation,stealthone_d220,Unknown,"CVE-2025-20055, CVE-2025-20620, CVE-2025-20016"
zackdesign,NextGen Cooliris Gallery,Unknown,CVE-2025-25091
zankover,Fami Sales Popup,Unknown,CVE-2025-25141
zauberzeug,nicegui,< 2.9.1,CVE-2025-21618
zmseo,ZMSEO,Unknown,CVE-2025-25126
zopefoundation,RestrictedPython,">= 6.0, < 8.0",CVE-2025-22153
